"Bindnr";"Brevid";"Tekst"
"1";"601";"Ollum monnum þæim sæm þetta bref sea æder høyra sændir Olauer med gudz nadh abote j Olafsklaustre j Tunsbergi q. g. ok sina kunnikt gerande at ek hæfuir samþykt med þesso mino opno brefue a Olafsklausters vægna þet jardarkaup sæm sira Æirikar Kolbiornason prester a Sondum hafde kœypt af Haluarde Þorgæirssyni ij marka bool j sydra Strandh er ligger j Sanda sokn a Væstfoldh æfter þui sæm jngifta bref vattar at Haluarder ok hans kona gafuo sik jn j sancte Olafsklauster med allu þui sem þau atto bæde j lauso ok fasto. serdæilis kenniz ek ok at ek hafuer vpboret af fyrnæmdom sira Æirike ij half stykki klædes sæm æfter stodo af jardar verdino ok ofuan a þet gaf han mik ok afhende a klaustrens vægna .j. half stykki j ifuir giof firir fyrnæmda jordh. Ok til sanynda her vm sætto þesser goder men er sua æita ok ner waro fyrnemdo giærdh ok samþykt sira Halbiorn Biornsson profaster j Tunsbergi. sira Hakon Gudþormsson prester j Nioterøy sin insigli med mino firir þetta bref er giort war j Raudenom j Tunsbergi a Botolf vaku æftan anno domini mo cccco vo ok a xvj are rikis wars wyrduliks herra herra Eriks med gudz nadh Noreks Dana ok Guta konongs."
"1";"602";"Ollom monnom þæim sæm þetta bref sea æder høyra sænda Halbiorn Biornsson koorsbroder j Oslo ok profaster j Tunsbergj ok Hakon Gudþormusson prester j Nioterøy q. g. ok sina kunnikt gerande at mit varom j Raudenom j Tunsbergi a Botolfs vaku æftan anno domini mo cccco vo ok a xvj are rikis okars wyrduliks herra herra Eriks med gudz nadh Noreks Dana ok Guta konongs sagom ok høyrdom a at þæir heldo hondom saman af æinni halfuo hæiderligin man herra Olauer med gudz nadh aboter j Olafs klaust(r)i j Tunsbergi, en af annare halfuo ærligin man sira Erikar prester a Sandom. med þui skilørde at herra abote samþykte med ja ok handarbande þet jardarkaup sæm Haluarder Þorgæirsson hafde giort med sira Erike Kolbiornasyni vm jordena alla sydra Strandh er ligger j Sanda sokn aa Vestfoldh æfter þui sæm bref þer vm giort *varter, at Haluarder ok hans kona hafdo sik jn gefuet j sancte Olafs klauster med allu þui sæm þau ato bade j la(u)so ok fastu. æfter þet lauk sira Æiriker herra abotanom ij half stykki klædes sæm æfter stodo af iardaruerdeno sæm fyrnæmder Haluarder hafde æikki vp boret fyr han jn gafs j klaustret ok ofuan af þet gaf sira Eiriker oftnemder þratnemdom herra Olaue abota til sancte Olafs klausters .j. half stykki klædez j ifuir giof firir fyrnemda jordh. ok til sanynda her vm sættom mit okor jnsigli firir þetta bref er giort war dæigi ok are sæm fyr sæigir."
"1";"603";"Ollom monnom thæim sæm thetta bref sæ ædr høyra sendr Sandr sassæ Gødichi Gødichsson Agmundr Øysteinsson Kallæ Jonsson ok Simon Kalsson q. g. ok sina kunnict giorandæ thet mer varom ther ner j profasta gardenom en Ingibiorgh Siwgurda dotter widr kendis med handrbandæ firir os ok margom fleirom godom monnom thet erlighin man herra Ottæ Rømer ridere hafdæ lokæt hennæ ok giort swa sæm hennæ vel a nøgdæ firir swa morgh hws sæm hon ate j Galganom ok hon erft hafde efter sin fadhr ok modhr adr nefdom herra Otta til æuerdeligha eigho ok hans erfingiom ok efterkomandom med tuftum ok brygiom ok ollom lunændom sæm til hefir legit fra forno ok nyiu til adr nefndz gardz ok hws sem liger j Bergin j Mario kirkiu sokn. til sannynda settom mer war jnzigli firir thetta bref ær giort fredaghin nestan efter Jons woku anno domini mo. c(d). quinto."
"1";"604";"Veer Eskill meder gudes naad erchibiskuper j Nidaros kungerom allom mannom þæim sem þetta bref sea eda høyra at þet var skilordh j kaupmaala vaarom ok velborens manz Hac[onar Sigurdz] sonar vm æighner þær sem han hefuer os ok vaare kirkiu pansæt j Sennione ok j Trumpsar kirkiu sokn [firir] fiortaan læster skræidar til gilldz huoriar ver hafuum os ok vaara epterkomanda vnderbundit meder vaaro opno brefue at luca Titeke sæmm eda hans erfuingiom. jnnan þriu aar her epter a Haconar Sigurdzsonar væghna. at sidan ver ok vaar kirkia eda efterkomanda hafuum med fulnade. jam marghar læster fisk til gildz oc kostnadh varn mæder apter vpboret af hans Haconar æignom fyrnemdom. þa scula þær sama æighner allar. vera firir os oc vaare kirkiu. eda varom efterkomandom .quittar oc lydughar ok allungis aakiæralausar. en Hacone eder hans erfuingiom. frealsar oc heimhollar. til alz afrædes. sosom bref hans vaattar sæm ver hafuum vm fyrsagdan kaupmaala. Til meire vissu her vm. sættom ver vaart secretum firir þetta bref ær gort war j Berguin vigilia beati Bartholomei apostoli. anno domini millesimo. quadringentesimo quinto."
"1";"605";"Allum mannum þæim sæm þetta bref sea eder heyra. sender Hacon Sigurdarson quediu gudes oc sina kunnikt gerande. at ek ær giældhskyldugher andalighom fæder oc vyrduligom herra. herra Eskille meder guds miskun erchibiscupi j Nidarose ok hans kirkiu fiortaan læster skræidar. j godom oc gildom haløyskom fisk, ok hær firir hefuer ek medh godhre forhuxsan oc medh minna vina raade oc tillæidhingh pansæt hanom oc hans kirkiu. alt þet ær ek æigher frealsligha a minna væghna j Senione ok j Trumpsar kirkiu sokn j minre lut ok mæira. til þes dags ær fyrsagd sculd er medher fulnade vploken. frealst ok hæimholt firir hueriom manne. sua at herra ærchibiscuper fyrnemder. ok hans epterkomanda fylghi frealsliga. fyrnemdom minom eignom sosom eighanda man. medh allum rettastadhum. ok bere vp frealsliga firir mik ok minom ærfuingiom. huat þar kan af falla a huerio aare. vndi retta reikningh. alt til þes dags. ær han hefuer sin sculd. aamælalaust væl apter lokna. firir þær fiortan læster fisk til gilldz. sem herre erchibiscuper fyrnemder hefer sik ok sina epterkomanda vnderbundit at luca Titeke sæmma. eder hans erfuingiom firir mik ok mina erfuingia. Skall skynsamlighen kostnadher af ræiknas. firir þa mæn sem saman taka þæssor jngiolld aa huerio aare. medhan þesse kaupmaale scal standa. En sidan fyrnemdar fiortaan læster skræidar medh sinom kostnade ero apter loknar. herra ærchibiscupi oc hans kirkiu medh fulnadhe. hafue ek eder miner erfuingiar after fyrnæmdar allar pansættar æighner frealsar ok aakiæralausar. till alls afrædhes. firir herra ærchibiscupi ok hans efterkomandom. Kan ok nokot af fyrnemdom æighnom værda her efter ofrealst ok medh laghum fra mik dæilt þa fylghi herra ærchibiskuper ok hans efterkomanda liika væll þui sæm epter kan væra. þui længer til þes dags. at han ok hans kirkia hafua sina sculd ok kostnadh medh fulnadhe sem fyr seghir þo efter rette reikningh. Till mæire vissu her vm. sætto Erlender Philippusson ok Einar Eindridzson Gulaþings ok Berguinar laghman. sin jncighli medh mino. firir þetta bref er gort var i Berghuin aa Bartholomej messo dagh, fra burdh vaars herra Iesu Christi. aa þushundradho. fiorda hundrado ok fimta aare. en aa sextanda aare rikis mins vyrduligs herra herra Eiriks medh guds naadh Noreghs konongs."
"1";"606";"Ollum monnum þeim sem þetta bref sea ædur heyra senda Jon Nikulasson Dufnalldur Haralldsson q. g. ok sina kunnigt gerandi ad þar voru met j hia a Setri j Hiatlandi ok heyrdum a at Ragnilld Hauards dotter kendist at hon hafdi fingid Magnus syni sinum sitt fullt ok lagligt wmbod wm allt þat gods ok peningha sem var eftir Gudrunu Siughrdar dottur j Husawik þar med heyrdum met at *Þorndur Dagfinsson lysti fyr henne at Magnus son hennar hafdi lakt vpp med seg ok sina erfuinghia til efuendligrar eignar alla þa akeru ok til tolu sem han matti vina vm allt þat gods sem var j Feræyum eftir Gudrunu Siurdar dottur j Husavik þeim badum hia verandum adur nefn dum Magnusi syni hennar sem vmbodit hafdi ok adur haft hafdi þar med kendist ok oppt nefnde Magnus at han hafdi suo gort sem fyrnefndur Þrondur hermdi fyr þeim badum hia verandum spurdi þa oppt nefndr Þrondr þratt nefnda Ragnilldi en hon vildi hallda stediga þesa sins sonar gerd en nefnd Rag(n)illd hellt j honnd adr nefnds Þrondar ok segist þat giarna vilia hallda ok huarki riufa *nema rofs mann til fa eftir ollu þi skiali ok profui sem þrat nefnde Þrondur hafdi at Magnus hafdi hanum wt sett war þesi þeira gerd oppt nefndum Magnusi ner værande ok til sannenda her vm settum wit fyr nefndir men okkr jnsigli fyr þetta bref er gort war a Vindasi tysdaghin efstan a svmri anno domini mo cdo quinto."
"1";"607";"Ollum monnum þeim sem þetta bref se ædur heyra senda Gudbrandur Magnusson soknar prestr j Iala j Hiatlandi Suein Markusson logmann j sama landi Jon Haraldsson loghrættu manu j Hiatlandi q. g. ok sina kunnigt gerandi at þat er os viturligt a Hragnilld Hauards dottir var ei flet gingin ok sialf hred hon sinum peningum þa Þrondr Dagfinsson kom til Vindas ok sat þar til hus ok til sanenda her vm settum vær var insigli fyr þetta bref er gort war j Papiliu mana dagin fyr Marteins messu anno domini mo cdo quinto."
"1";"608";"Thet see allom godom mannom kunnict at ek Andres Giurdsson kennes thet medh tessæ mynæ obnæ brefue ath ek stadfester thet jordæ skiptæ thet som moder myn giordæ vedh her Germund Torgeirsson om einæ jord som j øystæ Skiardeberg heter i Tiødelings sokn a Vestfolden xiii øræbol j nørstæ gardenom oc xii øresbol i meedstøuen j fornemdæ Skardæberge medh luttom oc lundinnom som til ligger oc legiat haffuir fra forne oc nye vttæn gardz oc jnnæn frelst oc akæreløst fore hueriom manne hannom oc hans arfuingom. Verder oc jorden æfter fal for penningæ tha skal Andresæ først til kops standæ hannom oc hans arfuingie om theræ kaupæ om their viliæ. Villæ their æy kaupæ tha seliæ hwøm han wil. Til sannindæ oc meræ stadfestæ tha setther tessæ godæ mæn Jon Nielsson oc Anders Eleefsson suorne logrettes (men) oc setto theræ (insigli) fore thettæ breff som giort var j Owlin sunedagen nest eftir trettendæ dag jwle anno domini m (c) d vjo."
"1";"609";"Ollum monnum þæim sem þetta bref sea eder hœyra. sænda Berghulfuer Læidulfsson Biorn Olfuirson ok Þorbion Þorbiornesson loghrette men aa Þælamark. kuædiu guds ok sina kunnikt gerande at a trinitatis messo dagh varo meer a Grafua bøø er ligger j Nissedale sokn a Þælamark aa xvii are rikis vars verduligx herra herra Erikx med gudzs naadh Noregx konongx. saghom ok hœyrdom a. at Hiarrander Olafsson kendis med iaa ok handerbande. at han hafde vpboret af Þorgeire Haluardssyni. sem at skada vard Helleike Olafsyni vforsynio ok af Fokke Þolleifssyni sem atvistæ madher var med fyrnemdom Þorgeire af at taka fyrnemdan Helleik al giold fyrsta pæninga ok œfsta ok alla þer j mellom sua at honom væl at nœghde. gaf þa fyrnemder Hiarrander adhernemfda Þorgæir ok Fookka. kuitta ok sua Þolleifui Lidhuordsson ok Þolleifue Helgasson sem med varo j atlaupine allungis lidhugha firir seer ok sinom erfuingiom. þæim ok alla þeira erfuingia. Ok ownd ok ilsko sem han hafde til þeire haft vm þraatnemt aftak Helleiks Olafssonar gudh hans saal hafue. Til sannynda her vm settom meer vaar incigli firir þetta bref er gort var dægi ok aare sem fyr sægir."
"1";"610";"Þet se ollom godom monnom kunigt at mit Eiuinder Paalssun ok Ommunder Þordersun suarner logrete menn warom j prestgardenom a Birride wm wetternatæ leitet viist firir sex arrom sagom ok hœrdom a ordh ok handerband þeire sire Eirigs Leikssunar ok Swnnifue Olefsdotor er fyrnæmder sir Eiriker gaf ok hafhende tiil friallser eigo ok als afrædes fyrnæmdre Swnnifue allen œfre garden ok siaurebool j nedre gardennom j Seeeime er liger a Birride firir sinne þenest. tiil sanindh hær wm sætium mit okkor insigle firir þette bref er gort waar a sunnedagh neest efter hælge likamme dagh a xvij are rikis okkars wyrdholiges herre Eirigs meder gudz nadh Noriges konongs."
