Proper Noun;Type of Proper Noun;Order of Occurrence in Doc;Brevid;Status/Occupation/Description;Gender;Language
Olauer;Person Name;1;601;Abbot;Male;non
Olafsklaustre;Place Name;2;601;Monastery;N/A;non
Tunsbergi;Place Name;3;601;Town;N/A;non
Olafsklausters;Place Name;4;601;Monastery;N/A;non
Æirikar;Person Name;5;601;Priest;Male;non
Kolbiornason;Person Name;6;601;Priest;Male;non
Sondum;Place Name;7;601;Location;N/A;non
Haluarde;Person Name;8;601;Landowner;Male;non
Þorgæirssyni;Person Name;9;601;Landowner;Male;non
Strandh;Place Name;10;601;Location;N/A;non
Sanda;Place Name;11;601;Parish;N/A;non
Væstfoldh;Place Name;12;601;Region;N/A;non
Haluarder;Person Name;13;601;Landowner;Male;non
Olafsklauster;Place Name;14;601;Monastery;N/A;non
Æirike;Person Name;15;601;Priest;Male;non
Halbiorn;Person Name;16;601;Provost;Male;non
Biornsson;Person Name;17;601;Provost;Male;non
Tunsbergi;Place Name;18;601;Town;N/A;non
Hakon;Person Name;19;601;Priest;Male;non
Gudþormsson;Person Name;20;601;Priest;Male;non
Nioterøy;Place Name;21;601;Location;N/A;non
Raudenom;Place Name;22;601;Location;N/A;non
Tunsbergi;Place Name;23;601;Town;N/A;non
Botolf;Person Name;24;601;Saint;Male;non
Eriks;Person Name;25;601;King;Male;non
Noreks;Place Name;26;601;Kingdom (Norway);N/A;non
Dana;Place Name;27;601;Kingdom (Denmark);N/A;non
Guta;Place Name;28;601;Kingdom (Gotland);N/A;non
