Proper Noun;Type of Proper Noun;Order of Occurrence in Doc;Brevid;Status/Occupation/Description;Gender;Language
Olauer;Person Name;1;601;Abbot;Male;non
Tunsbergi;Place Name;2;601;Town/City;N/A;non
sira Æirikar;Person Name;3;601;Priest;Male;non
Sondum;Place Name;4;601;Location;N/A;non
Haluarde;Person Name;5;601;Landowner;Male;non
Sanda;Place Name;6;601;Location;N/A;non
Væstfoldh;Place Name;7;601;Location;N/A;non
Haluarder;Person Name;8;601;Landowner;Male;non
Olafsklauster;Place Name;9;601;Monastery;N/A;non
sira Æirike;Person Name;10;601;Priest;Male;non
sira Halbiorn;Person Name;11;601;Profaster;Male;non
Tunsbergi;Place Name;12;601;Town/City;N/A;non
sira Hakon;Person Name;13;601;Priest;Male;non
Nioterøy;Place Name;14;601;Location;N/A;non
Raudenom;Place Name;15;601;Location;N/A;non
Tunsbergi;Place Name;16;601;Town/City;N/A;non
Botolf vaku;Place Name;17;601;Location;N/A;non
Eriks;Person Name;18;601;King;Male;non
Noreks;Place Name;19;601;Kingdom (Noregs);N/A;non
Dana;Place Name;20;601;Kingdom (Dana);N/A;non
Guta;Place Name;21;601;Kingdom (Gutaland);N/A;non
