Proper Noun;Type of Proper Noun;Order of Occurrence in Doc;Brevid;Status/Occupation/Description;Gender;Language
Olauer;Person Name;1;601;Abbot;Male;non
Olafsklaustre;Place Name;2;601;Monastery;N/A;non
Tunsbergi;Place Name;3;601;Town/City;N/A;non
Olafsklausters;Place Name;4;601;Monastery;N/A;non
Æirikar Kolbiornason;Person Name;5;601;Priest;Male;non
Sondum;Place Name;6;601;Location;N/A;non
Haluarde Þorgæirssyni;Person Name;7;601;Landowner;Male;non
Strandh;Place Name;8;601;Location;N/A;non
Sanda;Place Name;9;601;Parish;N/A;non
Væstfoldh;Place Name;10;601;Region;N/A;non
Haluarder;Person Name;11;601;Landowner;Male;non
Olafsklauster;Place Name;12;601;Monastery;N/A;non
Æirike;Person Name;13;601;Priest;Male;non
Halbiorn Biornsson;Person Name;14;601;Provost;Male;non
Tunsbergi;Place Name;15;601;Town/City;N/A;non
Hakon Gudþormsson;Person Name;16;601;Priest;Male;non
Nioterøy;Place Name;17;601;Location;N/A;non
Raudenom;Place Name;18;601;Location;N/A;non
Tunsbergi;Place Name;19;601;Town/City;N/A;non
Botolf;Person Name;20;601;Saint;Male;non
Eriks;Person Name;21;601;King;Male;non
Noreks;Place Name;22;601;Kingdom (Norway);N/A;non
Dana;Place Name;23;601;Kingdom (Denmark);N/A;non
Guta;Place Name;24;601;Kingdom (Gotland);N/A;non
Halbiorn Biornsson;Person Name;1;602;Choir brother and provost;Male;non
Oslo;Place Name;2;602;City;N/A;non
Tunsbergj;Place Name;3;602;Town/City;N/A;non
Hakon Gudþormusson;Person Name;4;602;Priest;Male;non
Nioterøy;Place Name;5;602;Location;N/A;non
Raudenom;Place Name;6;602;Location;N/A;non
Tunsbergi;Place Name;7;602;Town/City;N/A;non
Botolfs;Person Name;8;602;Saint;Male;non
Eriks;Person Name;9;602;King;Male;non
Noreks;Place Name;10;602;Kingdom (Norway);N/A;non
Dana;Place Name;11;602;Kingdom (Denmark);N/A;non
Guta;Place Name;12;602;Kingdom (Gotland);N/A;non
Olauer;Person Name;13;602;Abbot;Male;non
Olafs;Person Name;14;602;Saint;Male;non
Tunsbergi;Place Name;15;602;Town/City;N/A;non
Erikar;Person Name;16;602;Priest;Male;non
Sandom;Place Name;17;602;Location;N/A;non
Haluarder Þorgæirsson;Person Name;18;602;Landowner;Male;non
Erike Kolbiornasyni;Person Name;19;602;Priest;Male;non
Strandh;Place Name;20;602;Location;N/A;non
Sanda;Place Name;21;602;Parish;N/A;non
Vestfoldh;Place Name;22;602;Region;N/A;non
Haluarder;Person Name;23;602;Landowner;Male;non
Olafs;Person Name;24;602;Saint;Male;non
Æiriker;Person Name;25;602;Priest;Male;non
Haluarder;Person Name;26;602;Landowner;Male;non
Eiriker;Person Name;27;602;Priest;Male;non
Olaue;Person Name;28;602;Abbot;Male;non
Olafs;Person Name;29;602;Saint;Male;non
Sandr;Person Name;1;603;Witness;Male;non
Gødichi;Person Name;2;603;Witness;Male;non
Gødichsson;Person Name;3;603;Witness;Male;non
Agmundr;Person Name;4;603;Witness;Male;non
Øysteinsson;Person Name;5;603;Witness;Male;non
Kallæ;Person Name;6;603;Witness;Male;non
