Proper Noun;Type of Proper Noun;Order of Occurrence in Doc;Brevid;Status/Occupation/Description;Gender;Language
Olauer;Person Name;1;601;Abbot;Male;non
Tunsbergi;Place Name;2;601;Town/City;N/A;non
sira Æirikar;Person Name;3;601;Priest;Male;non
Sondum;Place Name;4;601;Location;N/A;non
Haluarde;Person Name;5;601;Landowner;Male;non
Sanda;Place Name;6;601;Location;N/A;non
Væstfoldh;Place Name;7;601;Location;N/A;non
Haluarder;Person Name;8;601;Landowner;Male;non
Olafsklauster;Place Name;9;601;Monastery;N/A;non
sira Æirike;Person Name;10;601;Priest;Male;non
sira Halbiorn;Person Name;11;601;Profaster;Male;non
Tunsbergi;Place Name;12;601;Town/City;N/A;non
sira Hakon;Person Name;13;601;Priest;Male;non
Nioterøy;Place Name;14;601;Location;N/A;non
Raudenom;Place Name;15;601;Location;N/A;non
Tunsbergi;Place Name;16;601;Town/City;N/A;non
Botolf vaku;Place Name;17;601;Location;N/A;non
Eriks;Person Name;18;601;King;Male;non
Noreks;Place Name;19;601;Kingdom (Noregs);N/A;non
Dana;Place Name;20;601;Kingdom (Dana);N/A;non
Guta;Place Name;21;601;Kingdom (Gutaland);N/A;non
Halbiorn;Person Name;1;602;Brother;Male;non
Hakon;Person Name;2;602;Priest;Male;non
Eriks;Person Name;3;602;King;Male;non
Olauer;Person Name;4;602;Abbot;Male;non
Erikar;Person Name;5;602;Priest;Male;non
Haluarder;Person Name;6;602;Landowner;Male;non
Erike;Person Name;7;602;Person;Male;non
Haluarder;Person Name;8;602;Landowner;Male;non
Æiriker;Person Name;9;602;Abbot;Male;non
Haluarder;Person Name;10;602;Landowner;Male;non
Eiriker;Person Name;11;602;Person;Male;non
Olauer;Person Name;12;602;Abbot;Male;non
Ollom;Person Name;1;603;Unknown;Male;non
monnom;Person Name;2;603;Unknown;Male;non
Sandr;Person Name;3;603;Unknown;Male;non
Gødichi;Person Name;4;603;Unknown;Male;non
Gødichsson;Person Name;5;603;Unknown;Male;non
Agmundr;Person Name;6;603;Unknown;Male;non
Øysteinsson;Person Name;7;603;Unknown;Male;non
Kallæ;Person Name;8;603;Unknown;Male;non
Jonsson;Person Name;9;603;Unknown;Male;non
Simon;Person Name;10;603;Unknown;Male;non
Kalsson;Person Name;11;603;Unknown;Male;non
Ingibiorgh;Person Name;12;603;Unknown;Female;non
Ottæ;Person Name;13;603;Rider;Male;non
Bergin;Place Name;14;603;Town/City;N/A;non
Eskill;Person Name;1;604;Archbishop;Male;non
Nidaros;Place Name;2;604;Kingdom (Nidaros);N/A;non
Hac[onar Sigurdz];Person Name;3;604;Landowner;Male;non
